queryid,geneid,C_RawCounts,T_RawCounts,C_Meantpm,T_Meantpm,Regulation,RealFC,PPDE,identity,evalue,bitscore,bitscore2,querylength,Alignment_vs_Q_SeqLength,subjectid,ID,subjectlength,Alignment_vs_S_SeqLength,subjectdescription,GO,PFAM,Panther,KEGG,KEGGec,KO,KOGAnnotation,taxon1,taxon2,taxon3,taxon4,taxon5,taxon6,Taxonomy,subjectid_2,taxon6_2,bitscore_2,bitscore2_2,keywords_2,subjectdescription_2,GO_2,PFAM_2,Panther_2,KEGG_2,KEGGec_2,KO_2,KOGAnnotation_2
Salix_HiSeq_c583667_g1_i3|m.1,Salix_HiSeq_c583667_g1_i3,14,100,0.40,1.44,Treatment,7.27,0.96,100,0.00E+00,720,100,349,99.71,sp|P37692|RFAF_ECOLI,Q2M7T4,348,100.00,ADP-heptose--LPS heptosyltransferase 2,GO:0005829;GO:0008713;GO:0016757;GO:0009244,PF01075,0,ecj:JW3595;eco:b3620,0,K02843,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P37692|RFAF_ECOLI;tr|A0A0E1ZX70|A0A0E1ZX70_ECOLX;gi|446621873|ref|WP_000699219.1|,Escherichia coli;Escherichia coli;Unknown,720;720;720,100;100;100,"[('heptosyltransferase', 3), ('ADP-heptose--LPS', 2), ('ADP-heptose:LPS', 1), ('[Proteobacteria]', 1), ('MULTISPECIES:', 1)]",ADP-heptose--LPS heptosyltransferase 2;ADP-heptose:LPS heptosyltransferase II;MULTISPECIES: ADP-heptose--LPS heptosyltransferase 2 [Proteobacteria],GO:0005829;GO:0008713;GO:0016757;GO:0009244;GO:0009103,PF01075;PF01075,0,ecj:JW3595;eco:b3620;0,0,K02843;0,0
Salix_HiSeq_c583667_g1_i3|m.3,Salix_HiSeq_c583667_g1_i3,14,100,0.40,1.44,Treatment,7.27,0.96,100,0,642,100,311,99.68,sp|B7LVH8|HLDD_ESCF3,B7LVH8,310,100.00,ADP-L-glycero-D-manno-heptose-6-epimerase,GO:0008712;GO:0050661;GO:0097171;GO:0005975,PF01370,0,efe:EFER_3908,0,K03274,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|B7LVH8|HLDD_ESCF3;tr|A0A0E1ZZ06|A0A0E1ZZ06_ECOLX;gi|446510251|ref|WP_000587764.1|,Escherichia coli;Escherichia coli;Unknown,642;642;642,100;100;100,"[('ADP-L-glycero-D-manno-heptose-6-epimerase', 2), ('ADP-L-glycero-D-mannoheptose-6-epimerase', 1), ('[Proteobacteria]', 1), ('MULTISPECIES:', 1)]",ADP-L-glycero-D-manno-heptose-6-epimerase;ADP-L-glycero-D-manno-heptose-6-epimerase;MULTISPECIES: ADP-L-glycero-D-mannoheptose-6-epimerase [Proteobacteria],GO:0008712;GO:0050661;GO:0097171;GO:0005975;GO:0008712,PF01370;PF01370,0,efe:EFER_3908;0,0,K03274;0,0
Salix_HiSeq_c602175_g1_i1|m.3,Salix_HiSeq_c602175_g1_i1,9,73,0.11,0.52,Treatment,9.27,0.98,100,2.00E-175,489,100,239,99.58,sp|P0A9Q4|ARCA_SHIFL,P03026,238,100.00,Aerobic respiration control protein ArcA,GO:0005737;GO:0003677;GO:0000160;GO:0006355;GO:0006351,PF00072;PF00486,0,sfl:SF4433;sfx:S4704,0,K07773,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Shigella,Shigella,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Shigella,sp|P0A9Q4|ARCA_SHIFL;tr|I6C4M3|I6C4M3_SHIFL;gi|447117102|ref|WP_001194358.1|,Shigella;Shigella;Unknown,489;489;489,100;100;100,"[('regulator', 2), ('control', 1), ('respiration', 1), ('Aerobic', 1), ('MULTISPECIES:', 1)]",Aerobic respiration control protein ArcA;Response regulator;MULTISPECIES: DNA-binding response regulator [Proteobacteria],GO:0005737;GO:0003677;GO:0000160;GO:0006355;GO:0006351;GO:0005622,PF00072;PF00486;PF00072,0,sfl:SF4433;sfx:S4704;0,0,K07773;0,0
Salix_HiSeq_c601001_g1_i1|m.1,Salix_HiSeq_c601001_g1_i1,9,71,0.30,0.93,Treatment,5.63,0.98,86.53,0.00E+00,904,87,528,95.64,sp|P50466|AER_ECOLI,Q2M9D4,506,99.80,Aerotaxis receptor,GO:0016021;GO:0005886;GO:0042802;GO:0004871;GO:0052131;GO:0007165,PF00672;PF00015;PF08447,0,ecj:JW3043;eco:b3072,0,K03776,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P50466|AER_ECOLI;tr|A0A0E1M3G7|A0A0E1M3G7_ECOLX;gi|446016866|ref|WP_000094721.1|,Escherichia coli;Escherichia coli;Unknown,904;904;904,87;87;87,"[('aerotaxis', 2), ('receptor', 2), ('Fused', 1), ('for', 1), ('signal', 1)]",Aerotaxis receptor;Fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component;MULTISPECIES: aerotaxis receptor [Proteobacteria],GO:0016021;GO:0005886;GO:0042802;GO:0004871;GO:0052131;GO:0007165;GO:0016021;GO:0006935,PF00672;PF00015;PF08447;PF00672,0,ecj:JW3043;eco:b3072;0,0,K03776;0,0
Salix_HiSeq_c601001_g1_i2|m.1,Salix_HiSeq_c601001_g1_i2,6,58,0.22,1.22,Treatment,11.17,0.99,100,0.00E+00,1042,100,507,99.80,sp|P50466|AER_ECOLI,Q2M9D4,506,100.00,Aerotaxis receptor,GO:0016021;GO:0005886;GO:0042802;GO:0004871;GO:0052131;GO:0007165,PF00672;PF00015;PF08447,0,ecj:JW3043;eco:b3072,0,K03776,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P50466|AER_ECOLI;tr|A0A0E1M3G7|A0A0E1M3G7_ECOLX;gi|446016866|ref|WP_000094721.1|,Escherichia coli;Escherichia coli;Unknown,1042;1042;1042,100;100;100,"[('aerotaxis', 2), ('receptor', 2), ('Fused', 1), ('for', 1), ('signal', 1)]",Aerotaxis receptor;Fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component;MULTISPECIES: aerotaxis receptor [Proteobacteria],GO:0016021;GO:0005886;GO:0042802;GO:0004871;GO:0052131;GO:0007165;GO:0016021;GO:0006935,PF00672;PF00015;PF08447;PF00672,0,ecj:JW3043;eco:b3072;0,0,K03776;0,0
Salix_HiSeq_c602247_g3_i2|m.2,Salix_HiSeq_c602247_g3_i2,7,59,0.17,0.59,Treatment,6.32,0.98,100,0.00E+00,731,100,357,99.72,sp|P29012|ALR2_ECOLI,P78246,356,100.00,"Alanine racemase, catabolic",GO:0008784;GO:0030170;GO:0006522,PF00842;PF01168,0,ecj:JW1179;eco:b1190,0,K01775,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P29012|ALR2_ECOLI;tr|A0A0E1LWI1|A0A0E1LWI1_ECOLX;gi|749033481|ref|WP_040080468.1|,Escherichia coli;Escherichia coli;Escherichia coli,731;731;732,100;100;100,"[('Alanine', 2), ('racemase', 2), ('catabolic', 2), ('coli]', 1), ('racemase,', 1)]","Alanine racemase, catabolic;Alanine racemase;alanine racemase catabolic [Escherichia coli]",GO:0008784;GO:0030170;GO:0006522;GO:0008784;GO:0030632,PF00842;PF01168;PF00842,0,ecj:JW1179;eco:b1190;0,0,K01775;0,0
Salix_HiSeq_c600411_g2_i2|m.2,Salix_HiSeq_c600411_g2_i2,13,94,0.30,1.05,Treatment,6.84,0.96,100,0.00E+00,796,100,388,99.74,tr|H4V6Z1|H4V6Z1_ECOLX,H4V6Z1,387,100.00,"Alanine racemase, N-terminal domain protein",0,PF01168;PF01168,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|H4V6Z1|H4V6Z1_ECOLX;gi|446419479|ref|WP_000497334.1|;sp|P45550|YHFX_ECOLI,Escherichia coli;Unknown;Escherichia coli,796;796;796,100;100;100,"[('N-terminal', 1), ('racemase,', 1), ('Alanine', 1), ('Uncharacterized', 1), ('binding', 1)]","Alanine racemase, N-terminal domain protein;MULTISPECIES: pyridoxal 5''-phosphate binding protein [Proteobacteria];Uncharacterized protein YhfX",0,PF01168;PF01168;0;PF01168,0,0;ecj:JW3344;eco:b3381,0,0,0
Salix_HiSeq_c601265_g6_i1|m.2,Salix_HiSeq_c601265_g6_i1,8,75,0.29,1.34,Treatment,8.95,0.99,100,0.00E+00,706,100,347,99.71,tr|D8ATZ6|D8ATZ6_ECOLX,D8ATZ6,346,100.00,"Alcohol dehydrogenase, propanol-preferring",GO:0004022;GO:0008270,PF08240;PF00107;PF00107;PF08240,PTHR11695,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|D8ATZ6|D8ATZ6_ECOLX;gi|300317042|gb|EFJ66826.1|;sp|P39451|ADHP_ECOLI,Escherichia coli;Escherichia coli MS 175-1;Escherichia coli,706;706;685,100;100;97,"[('dehydrogenase,', 3), ('propanol-preferring', 3), ('Alcohol', 2), ('[Escherichia', 1), ('175-1]', 1)]","Alcohol dehydrogenase, propanol-preferring;alcohol dehydrogenase, propanol-preferring [Escherichia coli MS 175-1];Alcohol dehydrogenase, propanol-preferring",GO:0004022;GO:0008270;0;GO:0004022;GO:0046187;GO:0006974;GO:0045471,PF08240;PF00107;PF08240;0;PF00107,PTHR11695;0;PTHR11695,0;ecj:JW1474;eco:b1478,0,0;K13953,0
Salix_HiSeq_c597776_g3_i4|m.6,Salix_HiSeq_c597776_g3_i4,14,119,0.21,0.91,Treatment,8.73,0.98,100,0,582,100,280,99.64,sp|P37685|ALDB_ECOLI,Q2M7Q1,512,54.49,Aldehyde dehydrogenase B,GO:0004029;GO:0016491;GO:0006974;GO:0045471,PF00171,0,ecj:JW3561;eco:b3588,0,K00138,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P37685|ALDB_ECOLI;tr|F4SQY3|F4SQY3_ECOLX;gi|693212698|ref|WP_032331302.1|,Escherichia coli;Escherichia coli;Shigella flexneri,582;582;583,100;100;100,"[('dehydrogenase', 3), ('Aldehyde', 2), ('[Shigella', 1), ('flexneri]', 1), ('aldehyde', 1)]",Aldehyde dehydrogenase B;Aldehyde dehydrogenase B;aldehyde dehydrogenase [Shigella flexneri],GO:0004029;GO:0016491;GO:0006974;GO:0045471;GO:0016620,PF00171;PF00171,0,ecj:JW3561;eco:b3588;0,0,K00138;0,0
Salix_HiSeq_c595746_g4_i1|m.1,Salix_HiSeq_c595746_g4_i1,3,32,0.18,1.06,Treatment,11.87,0.99,100,0.00E+00,594,100,288,100.00,tr|D7XNH9|D7XNH9_ECOLX,D7XNH9,728,39.56,"Aldehyde ferredoxin oxidoreductase, tungsten cofactor-binding domain protein",GO:0009055;GO:0051536;GO:0016625,PF01314;PF02730,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|D7XNH9|D7XNH9_ECOLX;gi|300403549|gb|EFJ87087.1|,Escherichia coli;Escherichia coli MS 84-1,594;594,100;100,"[('domain', 2), ('oxidoreductase,', 2), ('ferredoxin', 2), ('cofactor-binding', 2), ('tungsten', 2)]","Aldehyde ferredoxin oxidoreductase, tungsten cofactor-binding domain protein;aldehyde ferredoxin oxidoreductase, tungsten cofactor-binding domain protein [Escherichia coli MS 84-1]",GO:0009055;GO:0051536;GO:0016625,PF01314;PF02730,0,0,0,0,0
Salix_HiSeq_c513097_g1_i2|m.2,Salix_HiSeq_c513097_g1_i2,11,72,0.25,0.97,Treatment,7.94,0.95,100,0.00E+00,724,100,350,99.71,sp|P75691|YAHK_ECOLI,Q2MC98,349,100.00,Aldehyde reductase YahK,GO:0008106;GO:0008270,PF08240;PF00107,PTHR11695,ecj:JW0317;eco:b0325,0,K13979,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P75691|YAHK_ECOLI;tr|G0FBL3|G0FBL3_ECOLX;gi|446615408|ref|WP_000692754.1|,Escherichia coli;Escherichia coli;Unknown,724;724;724,100;100;100,"[('YahK', 2), ('reductase', 2), ('dehydrogenase-like', 1), ('alcohol', 1), ('aldehyde', 1)]",Aldehyde reductase YahK;Zinc-type alcohol dehydrogenase-like protein yahK;MULTISPECIES: aldehyde reductase YahK [Proteobacteria],GO:0008106;GO:0008270;GO:0016491,PF08240;PF00107;PF08240,PTHR11695;PTHR11695,ecj:JW0317;eco:b0325;0,0,K13979;0,0
Salix_HiSeq_c602269_g3_i4|m.7,Salix_HiSeq_c602269_g3_i4,27,199,0.31,1.34,Treatment,8.47,0.95,100,2.00E-156,439,100,213,99.53,sp|Q46890|YGBL_ECOLI,Q2MA91,212,100.00,aldolase class 2 protein YgbL,GO:0046872,PF00596,0,ecj:JW2708;eco:b2738,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|Q46890|YGBL_ECOLI;tr|I6BG58|I6BG58_SHIFL;gi|447201738|ref|WP_001278994.1|,Escherichia coli;Shigella;Unknown,439;439;439,100;100;100,"[('class', 2), ('aldolase', 2), ('and', 1), ('N-terminal', 1), ('domain', 1)]",Putative aldolase class 2 protein YgbL;Class II Aldolase and Adducin N-terminal domain protein;MULTISPECIES: class II aldolase [Proteobacteria],GO:0046872;0,PF00596;PF00596,0,ecj:JW2708;eco:b2738;0,0,0,0
Salix_HiSeq_c590725_g2_i1|m.5,Salix_HiSeq_c590725_g2_i1,5,59,0.06,0.45,Treatment,16.10,1.00,100,0.00E+00,626,100,302,99.67,tr|D8AV47|D8AV47_ECOLX,D8AV47,301,100.00,Aldose 1-epimerase,GO:0030246;GO:0016853;GO:0005975,PF01263,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|D8AV47|D8AV47_ECOLX;gi|157066921|gb|ABV06176.1|;sp|P39173|YEAD_ECOLI,Escherichia coli;Escherichia coli HS;Escherichia coli,626;626;611,100;100;98,"[('1-epimerase', 3), ('Putative', 1), ('family', 1), ('aldose', 1), ('glucose-6-phosphate', 1)]",Aldose 1-epimerase;aldose 1-epimerase family protein [Escherichia coli HS];Putative glucose-6-phosphate 1-epimerase,GO:0030246;GO:0016853;GO:0005975;0;GO:0005829;GO:0030246;GO:0047938;GO:0006974,PF01263;0;PF01263,0,0;ecj:JW1769;eco:b1780,0,0;K01792,0
Salix_HiSeq_c590725_g2_i2|m.5,Salix_HiSeq_c590725_g2_i2,11,79,0.17,0.59,Treatment,6.32,0.97,100,0,626,100,302,99.67,tr|D8AV47|D8AV47_ECOLX,D8AV47,301,100.00,Aldose 1-epimerase,GO:0030246;GO:0016853;GO:0005975,PF01263,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|D8AV47|D8AV47_ECOLX;gi|157066921|gb|ABV06176.1|;sp|P39173|YEAD_ECOLI,Escherichia coli;Escherichia coli HS;Escherichia coli,626;626;611,100;100;98,"[('1-epimerase', 3), ('Putative', 1), ('family', 1), ('aldose', 1), ('glucose-6-phosphate', 1)]",Aldose 1-epimerase;aldose 1-epimerase family protein [Escherichia coli HS];Putative glucose-6-phosphate 1-epimerase,GO:0030246;GO:0016853;GO:0005975;0;GO:0005829;GO:0030246;GO:0047938;GO:0006974,PF01263;0;PF01263,0,0;ecj:JW1769;eco:b1780,0,0;K01792,0
Salix_HiSeq_c595976_g1_i2|m.8,Salix_HiSeq_c595976_g1_i2,11,87,0.11,0.45,Treatment,8.49,0.98,100,1.00E-179,501,100,256,99.61,sp|P0AAI1|SSUB_ECOLI,P75850,255,100.00,Aliphatic sulfonates import ATP-binding protein SsuB,GO:0043190;GO:0005524;GO:0016887;GO:0005215,PF00005,PTHR24220:SF365,ecj:JW0916;eco:b0933,0,K15555,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P0AAI1|SSUB_ECOLI;tr|A0A0E1LVC3|A0A0E1LVC3_ECOLX;gi|447013250|ref|WP_001090506.1|,Escherichia coli;Escherichia coli;Unknown,501;501;501,100;100;100,"[('ATP-binding', 3), ('SsuB', 2), ('sulfonates', 2), ('Aliphatic', 2), ('import', 2)]",Aliphatic sulfonates import ATP-binding protein SsuB;Aliphatic sulfonates import ATP-binding protein SsuB;MULTISPECIES: aliphatic sulfonate ABC transporter ATP-binding protein [Proteobacteria],GO:0043190;GO:0005524;GO:0016887;GO:0005215;GO:0043190,PF00005;PF00005,PTHR24220:SF365;PTHR24220:SF365,ecj:JW0916;eco:b0933;0,0,K15555;0,0
Salix_HiSeq_c595976_g1_i9|m.8,Salix_HiSeq_c595976_g1_i9,9,83,0.10,0.44,Treatment,8.47,0.99,100,1.00E-179,501,100,256,99.61,sp|P0AAI1|SSUB_ECOLI,P75850,255,100.00,Aliphatic sulfonates import ATP-binding protein SsuB,GO:0043190;GO:0005524;GO:0016887;GO:0005215,PF00005,PTHR24220:SF365,ecj:JW0916;eco:b0933,0,K15555,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P0AAI1|SSUB_ECOLI;tr|A0A0E1LVC3|A0A0E1LVC3_ECOLX;gi|447013250|ref|WP_001090506.1|,Escherichia coli;Escherichia coli;Unknown,501;501;501,100;100;100,"[('ATP-binding', 3), ('SsuB', 2), ('sulfonates', 2), ('Aliphatic', 2), ('import', 2)]",Aliphatic sulfonates import ATP-binding protein SsuB;Aliphatic sulfonates import ATP-binding protein SsuB;MULTISPECIES: aliphatic sulfonate ABC transporter ATP-binding protein [Proteobacteria],GO:0043190;GO:0005524;GO:0016887;GO:0005215;GO:0043190,PF00005;PF00005,PTHR24220:SF365;PTHR24220:SF365,ecj:JW0916;eco:b0933;0,0,K15555;0,0
Salix_HiSeq_c595976_g1_i2|m.6,Salix_HiSeq_c595976_g1_i2,11,87,0.11,0.45,Treatment,8.49,0.98,100,0,541,100,279,99.64,tr|D8AQP8|D8AQP8_ECOLX,D8AQP8,278,100.00,aliphatic sulfonates transport permease protein SsuC,GO:0016021;GO:0005886;GO:0006810,PF00528,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|D8AQP8|D8AQP8_ECOLX;gi|300317702|gb|EFJ67486.1|;sp|P75851|SSUC_ECOLI,Escherichia coli;Escherichia coli MS 175-1;Escherichia coli,541;541;512,100;100;95,"[('permease', 3), ('SsuC', 3), ('sulfonates', 3), ('aliphatic', 3), ('transport', 3)]",Putative aliphatic sulfonates transport permease protein SsuC;putative aliphatic sulfonates transport permease protein SsuC [Escherichia coli MS 175-1];Putative aliphatic sulfonates transport permease protein SsuC,GO:0016021;GO:0005886;GO:0006810;0;GO:0005887;GO:0006865;GO:0006790,PF00528;0;PF00528,0,0;ecj:JW5121;eco:b0934,0,0;K15554,0
Salix_HiSeq_c595976_g1_i9|m.6,Salix_HiSeq_c595976_g1_i9,9,83,0.10,0.44,Treatment,8.47,0.99,100,0.00E+00,541,100,279,99.64,tr|D8AQP8|D8AQP8_ECOLX,D8AQP8,278,100.00,aliphatic sulfonates transport permease protein SsuC,GO:0016021;GO:0005886;GO:0006810,PF00528,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|D8AQP8|D8AQP8_ECOLX;gi|300317702|gb|EFJ67486.1|;sp|P75851|SSUC_ECOLI,Escherichia coli;Escherichia coli MS 175-1;Escherichia coli,541;541;512,100;100;95,"[('permease', 3), ('SsuC', 3), ('sulfonates', 3), ('aliphatic', 3), ('transport', 3)]",Putative aliphatic sulfonates transport permease protein SsuC;putative aliphatic sulfonates transport permease protein SsuC [Escherichia coli MS 175-1];Putative aliphatic sulfonates transport permease protein SsuC,GO:0016021;GO:0005886;GO:0006810;0;GO:0005887;GO:0006865;GO:0006790,PF00528;0;PF00528,0,0;ecj:JW5121;eco:b0934,0,0;K15554,0
Salix_HiSeq_c595976_g1_i2|m.4,Salix_HiSeq_c595976_g1_i2,11,87,0.11,0.45,Treatment,8.49,0.98,100,0,777,100,382,99.74,sp|P80645|SSUD_ECOLI,Q9RM46,381,100.00,Alkanesulfonate monooxygenase,GO:0008726;GO:0042802;GO:0046306;GO:0009408,PF00296,0,ecj:JW0918;eco:b0935,0,K04091,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P80645|SSUD_ECOLI;tr|G0F6J0|G0F6J0_ECOLX;gi|445978151|ref|WP_000056006.1|,Escherichia coli;Escherichia coli;Unknown,777;777;777,100;100;100,"[('monooxygenase', 3), ('Alkanesulfonate', 2), ('alkanesulfonate', 1), ('[Proteobacteria]', 1), ('MULTISPECIES:', 1)]",Alkanesulfonate monooxygenase;Alkanesulfonate monooxygenase;MULTISPECIES: alkanesulfonate monooxygenase [Proteobacteria],GO:0008726;GO:0042802;GO:0046306;GO:0009408;GO:0008726,PF00296;PF00296,0,ecj:JW0918;eco:b0935;0,0,K04091;0,0
Salix_HiSeq_c595976_g1_i9|m.4,Salix_HiSeq_c595976_g1_i9,9,83,0.10,0.44,Treatment,8.47,0.99,100,0,777,100,382,99.74,sp|P80645|SSUD_ECOLI,Q9RM46,381,100.00,Alkanesulfonate monooxygenase,GO:0008726;GO:0042802;GO:0046306;GO:0009408,PF00296,0,ecj:JW0918;eco:b0935,0,K04091,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,sp|P80645|SSUD_ECOLI;tr|G0F6J0|G0F6J0_ECOLX;gi|445978151|ref|WP_000056006.1|,Escherichia coli;Escherichia coli;Unknown,777;777;777,100;100;100,"[('monooxygenase', 3), ('Alkanesulfonate', 2), ('alkanesulfonate', 1), ('[Proteobacteria]', 1), ('MULTISPECIES:', 1)]",Alkanesulfonate monooxygenase;Alkanesulfonate monooxygenase;MULTISPECIES: alkanesulfonate monooxygenase [Proteobacteria],GO:0008726;GO:0042802;GO:0046306;GO:0009408;GO:0008726,PF00296;PF00296,0,ecj:JW0918;eco:b0935;0,0,K04091;0,0
Salix_HiSeq_c601863_g1_i2|m.1,Salix_HiSeq_c601863_g1_i2,15,123,0.23,1.08,Treatment,9.54,0.98,100,0.00E+00,1091,100,532,99.81,tr|A0A0E2L8U6|A0A0E2L8U6_ECOU3,A0A0E2L8U6,531,100.00,Alkyl hydroperoxide reductase subunit F,GO:0005623;GO:0008785;GO:0009055;GO:0050660;GO:0051287;GO:0015035;GO:0045454;GO:0000302,PF07992;PF13192,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae,Escherichia,Escherichia coli,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;Escherichia coli,tr|A0A0E2L8U6|A0A0E2L8U6_ECOU3;gi|446902583|ref|WP_000979839.1|;sp|P35340|AHPF_ECOLI,Escherichia coli;Escherichia coli;Escherichia coli,1091;1091;1069,100;100;98,"[('reductase', 3), ('subunit', 3), ('hydroperoxide', 3), ('Alkyl', 2), ('coli]', 1)]",Alkyl hydroperoxide reductase subunit F;alkyl hydroperoxide reductase subunit F [Escherichia coli];Alkyl hydroperoxide reductase subunit F,GO:0005623;GO:0008785;GO:0009055;GO:0050660;GO:0051287;GO:0015035;GO:0045454;GO:0000302;0;GO:0009321;GO:0005829;GO:0071949;GO:0070402;GO:0000302,PF07992;PF13192;0;PF07992;PF13192,0,0;ecj:JW0599;eco:b0606,0,0;K03387,0
