contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_1157516,binary.seasonlate.and.fall,3.404086854,4.609454672,10.29218893,0.001335945,0.018958193,,,, , , , , 
contig-60_32495,binary.seasonlate.and.fall,3.407405747,4.728785717,11.65278767,0.000641064,0.009924262,,,, , , , , 
contig-60_8393,binary.seasonlate.and.fall,3.416388313,4.351859604,10.3959215,0.00126294,0.018043808,Q748Y8,Elongation factor G 2 {ECO:0000255|HAMAP-Rule:MF_00054},, PF00679;PF03764;PF00009;PF03144;, GO:0005737;GO:0005525;GO:0003924;GO:0003746;,  C:cytoplasm;,  F:GTP binding; F:GTPase activity; F:translation elongation factor activity;, 
contig-60_7214,binary.seasonlate.and.fall,3.422491298,4.178432884,8.796463326,0.003018151,0.038151745,A4SFY3,Serine hydroxymethyltransferase {ECO:0000255|HAMAP-Rule:MF_00051},, PF00464;, GO:0005737;GO:0004372;GO:0030170;GO:0019264;GO:0035999;,  C:cytoplasm;,  F:glycine hydroxymethyltransferase activity; F:pyridoxal phosphate binding;,  P:glycine biosynthetic process from serine; P:tetrahydrofolate interconversion;
contig-60_13806,binary.seasonlate.and.fall,3.425307764,4.748220532,8.45920231,0.003632011,0.04445798,Q8KEP3,Chaperone protein DnaK {ECO:0000255|HAMAP-Rule:MF_00332},HSP70 {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock 70 kDa protein {ECO:0000255|HAMAP-Rule:MF_00332};Heat shock protein 70 {ECO:0000255|HAMAP-Rule:MF_00332};, PF00012;, GO:0005524;GO:0051082;GO:0006457;, ,  F:ATP binding; F:unfolded protein binding;,  P:protein folding;
contig-60_12383,binary.seasonlate.and.fall,3.426868936,4.54684667,10.06624007,0.001510109,0.021080487,Q6MEN8,Pyridoxal 5'-phosphate synthase subunit PdxS {ECO:0000255|HAMAP-Rule:MF_01824},Pdx1 {ECO:0000255|HAMAP-Rule:MF_01824};, PF01680;, GO:0036381;GO:0042823;, ,  F:pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity;,  P:pyridoxal phosphate biosynthetic process;
contig-60_37815,binary.seasonlate.and.fall,3.432945886,3.841505579,8.261206458,0.00405012,0.048563026,,,, , , , , 
contig-60_17237,binary.seasonlate.and.fall,3.43569322,4.293898473,9.953492402,0.001605445,0.022123509,,,, , , , , 
contig-60_4817,binary.seasonlate.and.fall,3.440655847,5.136606452,10.61759741,0.001120165,0.016282769,P21524 D3DLX5,Ribonucleoside-diphosphate reductase large chain 1,Ribonucleotide reductase R1 subunit 1;Ribonucleotide reductase large subunit 1;, PF03477;PF02867;PF00317;, GO:0005737;GO:0005971;GO:0005524;GO:0042802;GO:0000166;GO:0004748;GO:0009263;GO:0006260;,  C:cytoplasm; C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:identical protein binding; F:nucleotide binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_9418,binary.seasonlate.and.fall,3.441060417,5.013287292,9.9096791,0.001644118,0.022561827,Q5UP57,Putative prolyl 4-hydroxylase,"Procollagen-proline,2-oxoglutarate-4-dioxygenase;", PF13640;, GO:0019012;GO:0005506;GO:0031418;GO:0004656;,  C:virion;,  F:iron ion binding; F:L-ascorbic acid binding; F:procollagen-proline 4-dioxygenase activity;, 
contig-60_20980,binary.seasonlate.and.fall,3.446782457,4.10842353,8.41724344,0.003716789,0.045242956,,,, , , , , 
contig-60_23822,binary.seasonlate.and.fall,3.44758577,4.085724338,12.06886438,0.000512709,0.008158173,P49730,Ribonucleoside-diphosphate reductase small chain,Ribonucleoside-diphosphate reductase R2 subunit;Ribonucleotide reductase small subunit;, PF00268;, GO:0005737;GO:0046872;GO:0004748;GO:0009263;GO:0006260;,  C:cytoplasm;,"  F:metal ion binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_3068,binary.seasonlate.and.fall,3.463561717,4.12373831,10.04946412,0.001523923,0.021204481,Q5ZHT1,Acyl-CoA dehydrogenase family member 11,, PF00441;PF02770;PF02771;PF01636;, GO:0005777;GO:0050660;GO:0016627;,  C:peroxisome;,"  F:flavin adenine dinucleotide binding; F:oxidoreductase activity, acting on the CH-CH group of donors;", 
contig-60_2748810,binary.seasonlate.and.fall,3.465216384,4.529139838,11.53753122,0.000682052,0.010455366,,,, , , , , 
contig-60_22655,binary.seasonlate.and.fall,3.469719226,3.845210769,12.45670237,0.000416495,0.006753089,P43641,Modification methylase MunI,Adenine-specific methyltransferase MunI;, PF05063;, GO:0003676;GO:0009007;GO:0009307;, ,  F:nucleic acid binding; F:site-specific DNA-methyltransferase (adenine-specific) activity;,  P:DNA restriction-modification system;
contig-60_148064,binary.seasonlate.and.fall,3.476440031,4.050364673,10.95892437,0.000931539,0.01379097,,,, , , , , 
contig-60_40782,binary.seasonlate.and.fall,3.47910858,3.644066342,8.996009134,0.002705698,0.034750089,Q07806,Penicillin-binding protein 1A,, PF17092;PF00912;PF00905;, GO:0016021;GO:0005886;GO:0008144;GO:0008658;GO:0008955;GO:0009002;GO:0071555;GO:0009252;GO:0008360;GO:0046677;,  C:integral component of membrane; C:plasma membrane;,  F:drug binding; F:penicillin binding; F:peptidoglycan glycosyltransferase activity; F:serine-type D-Ala-D-Ala carboxypeptidase activity;,  P:cell wall organization; P:peptidoglycan biosynthetic process; P:regulation of cell shape; P:response to antibiotic;
contig-60_110329,binary.seasonlate.and.fall,3.484555714,4.776482205,9.473488334,0.002084626,0.027760663,,,, , , , , 
contig-60_5695,binary.seasonlate.and.fall,3.485745269,5.144265405,9.127735203,0.002517632,0.032770096,P94604,DNA gyrase subunit B {ECO:0000255|HAMAP-Rule:MF_01898},, PF00204;PF00986;PF02518;PF01751;, GO:0005694;GO:0005737;GO:0005524;GO:0003677;GO:0003918;GO:0046872;GO:0006265;GO:0006261;,  C:chromosome; C:cytoplasm;,  F:ATP binding; F:DNA binding; F:DNA topoisomerase type II (ATP-hydrolyzing) activity; F:metal ion binding;,  P:DNA topological change; P:DNA-dependent DNA replication;
contig-60_4788,binary.seasonlate.and.fall,3.491224298,4.383678519,12.01272839,0.000528384,0.008368402,A6L3D5,Demethylmenaquinone methyltransferase {ECO:0000255|HAMAP-Rule:MF_01813},, PF01209;, GO:0102955;GO:0009234;, ,  F:S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity;,  P:menaquinone biosynthetic process;
contig-60_28699,binary.seasonlate.and.fall,3.499728734,4.588267685,10.88013964,0.000972009,0.014306338,Q1R0F8,30S ribosomal protein S5 {ECO:0000255|HAMAP-Rule:MF_01307},, PF00333;PF03719;, GO:0015935;GO:0019843;GO:0003735;GO:0006412;,  C:small ribosomal subunit;,  F:rRNA binding; F:structural constituent of ribosome;,  P:translation;
contig-60_44358,binary.seasonlate.and.fall,3.501382197,4.980434214,9.204684427,0.002413966,0.031684269,B5X582 Q8GUI8 Q9SA83,"Twinkle homolog protein, chloroplastic/mitochondrial",DNA helicase;DNA primase;, PF03796;PF13662;, GO:0009507;GO:0005739;GO:0005524;GO:0004003;GO:0003896;GO:0046872;GO:0003697;GO:0009260;,  C:chloroplast; C:mitochondrion;,  F:ATP binding; F:ATP-dependent DNA helicase activity; F:DNA primase activity; F:metal ion binding; F:single-stranded DNA binding;,  P:ribonucleotide biosynthetic process;
contig-60_7025,binary.seasonlate.and.fall,3.50406993,4.923720594,10.44782158,0.001227942,0.017631078,Q23381,"Probable methylmalonyl-CoA mutase, mitochondrial",MethylmalonylCoA mutase homolog 1;, PF02310;PF01642;, GO:0005759;GO:0005739;GO:0031419;GO:0046872;GO:0004494;,  C:mitochondrial matrix; C:mitochondrion;,  F:cobalamin binding; F:metal ion binding; F:methylmalonyl-CoA mutase activity;, 
contig-60_3914,binary.seasonlate.and.fall,3.508663546,5.972729891,9.026390241,0.002661095,0.034351742,O07631,GTP-binding protein TypA/BipA homolog,, PF00679;PF00009;PF03144;, GO:0005525;GO:0003924;, ,  F:GTP binding; F:GTPase activity;, 
contig-60_12607,binary.seasonlate.and.fall,3.510044657,3.857862953,9.850200299,0.001698133,0.023177255,Q7N3E2,Multidrug resistance protein MdtB {ECO:0000255|HAMAP-Rule:MF_01423},Multidrug transporter MdtB {ECO:0000255|HAMAP-Rule:MF_01423};, PF00873;, GO:0016021;GO:0005886;GO:0022857;,  C:integral component of membrane; C:plasma membrane;,  F:transmembrane transporter activity;, 
contig-60_770,binary.seasonlate.and.fall,3.520339469,5.956335923,8.462605972,0.003625221,0.0444245,Q59754 Q59755 Q59756,"Pyruvate, phosphate dikinase","Pyruvate, orthophosphate dikinase;", PF00391;PF02896;PF01326;, GO:0005524;GO:0016301;GO:0046872;GO:0050242;GO:0006090;, ,"  F:ATP binding; F:kinase activity; F:metal ion binding; F:pyruvate, phosphate dikinase activity;",  P:pyruvate metabolic process;
contig-60_4350,binary.seasonlate.and.fall,3.523604894,4.741590927,15.05511624,0.000104417,0.001906535,,,, , , , , 
contig-60_2155244,binary.seasonlate.and.fall,3.524432348,5.024481508,10.95736583,0.000932323,0.013796359,Q3AV15,Photosystem II protein D1 2 {ECO:0000255|HAMAP-Rule:MF_01379},Photosystem II Q(B) protein 2 {ECO:0000255|HAMAP-Rule:MF_01379};, PF00124;, GO:0016021;GO:0009523;GO:0042651;GO:0016168;GO:0045156;GO:0005506;GO:0016682;GO:0009772;GO:0018298;GO:0009635;,  C:integral component of membrane; C:photosystem II; C:thylakoid membrane;,"  F:chlorophyll binding; F:electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity; F:iron ion binding; F:oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;",  P:photosynthetic electron transport in photosystem II; P:protein-chromophore linkage; P:response to herbicide;
contig-60_2971,binary.seasonlate.and.fall,3.525670368,4.710153449,9.92772684,0.001628075,0.022397783,E1VBT7 Q2WBH9,Na(+)/H(+) antiporter NhaD,Sodium/proton antiporter NhaD;, PF03600;, GO:0016021;GO:0005886;GO:0015297;GO:0006814;,  C:integral component of membrane; C:plasma membrane;,  F:antiporter activity;,  P:sodium ion transport;
contig-60_10252,binary.seasonlate.and.fall,3.525772289,4.334031639,8.199653743,0.004189839,0.049820272,O64301 Q76XX7,DNA polymerase accessory protein 44,Clamp loader large subunit;Protein Gp44;, PF00004;, GO:0005524;GO:0006260;, ,  F:ATP binding;,  P:DNA replication;
contig-60_22680,binary.seasonlate.and.fall,3.526879674,3.941128631,10.00131027,0.001564289,0.021656242,Q81ZL2 Q7C3I8,Chromosome partition protein Smc {ECO:0000255|HAMAP-Rule:MF_01894},, PF02463;, GO:0005694;GO:0005737;GO:0005524;GO:0003677;GO:0030261;GO:0006260;GO:0007062;,  C:chromosome; C:cytoplasm;,  F:ATP binding; F:DNA binding;,  P:chromosome condensation; P:DNA replication; P:sister chromatid cohesion;
contig-60_30749,binary.seasonlate.and.fall,3.528945546,4.943309141,15.25942728,9.37E-05,0.001726347,,,, , , , , 
contig-60_27203,binary.seasonlate.and.fall,3.533991524,3.90528837,11.51945429,0.000688716,0.010542777,P70997 Q794Z1,Penicillin-binding protein 2D,, PF00912;PF00905;, GO:0016021;GO:0005886;GO:0008144;GO:0008658;GO:0008955;GO:0009002;GO:0071555;GO:0009252;GO:0008360;GO:0046677;,  C:integral component of membrane; C:plasma membrane;,  F:drug binding; F:penicillin binding; F:peptidoglycan glycosyltransferase activity; F:serine-type D-Ala-D-Ala carboxypeptidase activity;,  P:cell wall organization; P:peptidoglycan biosynthetic process; P:regulation of cell shape; P:response to antibiotic;
contig-60_5119956,binary.seasonlate.and.fall,3.534674917,6.326257463,9.660304881,0.001882924,0.02533122,,,, , , , , 
contig-60_58709,binary.seasonlate.and.fall,3.534887576,4.332728512,10.51003091,0.001187283,0.017122086,O32222,Copper-sensing transcriptional repressor CsoR,Copper-sensitive operon repressor;, PF02583;, GO:0005737;GO:0032993;GO:0001217;GO:0046872;GO:0000976;,  C:cytoplasm; C:protein-DNA complex;,"  F:bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding; F:metal ion binding; F:transcription regulatory region sequence-specific DNA binding;", 
contig-60_8662,binary.seasonlate.and.fall,3.542582233,4.487620162,8.485138357,0.003580593,0.043959576,P0AFY7 P24212 P71313 P75702,Peptide antibiotic transporter SbmA,, PF05992;, GO:0016021;GO:0005886;GO:0005524;GO:1904680;GO:0015031;,  C:integral component of membrane; C:plasma membrane;,  F:ATP binding; F:peptide transmembrane transporter activity;,  P:protein transport;
contig-60_1692436,binary.seasonlate.and.fall,3.542748932,4.154589389,8.515878092,0.00352061,0.043368954,,,, , , , , 
contig-60_9142,binary.seasonlate.and.fall,3.54300464,4.904347416,13.48544961,0.000240421,0.004106892,Q9RSZ7,ATP-dependent Clp protease proteolytic subunit {ECO:0000255|HAMAP-Rule:MF_00444},Endopeptidase Clp {ECO:0000255|HAMAP-Rule:MF_00444};, PF00574;, GO:0005737;GO:0004252;,  C:cytoplasm;,  F:serine-type endopeptidase activity;, 
contig-60_15408,binary.seasonlate.and.fall,3.555550979,4.318526429,10.13534503,0.00145453,0.020420584,,,, , , , , 
contig-60_4272,binary.seasonlate.and.fall,3.556508452,4.61891369,12.29168635,0.00045498,0.007319328,P0A9X4 P13519 P76678 Q2M8W3,Rod shape-determining protein MreB,, PF06723;, GO:0005856;GO:0031226;GO:0005886;GO:0042802;GO:0000902;GO:0043093;GO:0051782;GO:0008360;GO:0051983;,  C:cytoskeleton; C:intrinsic component of plasma membrane; C:plasma membrane;,  F:identical protein binding;,  P:cell morphogenesis; P:FtsZ-dependent cytokinesis; P:negative regulation of cell division; P:regulation of cell shape; P:regulation of chromosome segregation;
contig-60_3821,binary.seasonlate.and.fall,3.557380158,4.891688816,10.88509525,0.000969412,0.014274504,,,, , , , , 
contig-60_72057,binary.seasonlate.and.fall,3.557652603,4.538564861,8.429380872,0.00369206,0.044991937,,,, , , , , 
contig-60_1877507,binary.seasonlate.and.fall,3.573207957,5.376137592,8.250795047,0.004073416,0.048804249,,,, , , , , 
contig-60_1388779,binary.seasonlate.and.fall,3.586669916,4.649605883,10.02886846,0.001541057,0.021379642,,,, , , , , 
contig-60_30434,binary.seasonlate.and.fall,3.588120657,3.698996249,12.95900764,0.000318386,0.005312852,,,, , , , , 
contig-60_11705,binary.seasonlate.and.fall,3.590974023,4.193235142,9.863619645,0.001685791,0.023047092,A7U6E9,Major capsid protein,, PF16903;PF04451;, GO:0019028;GO:0005198;,  C:viral capsid;,  F:structural molecule activity;, 
contig-60_2287,binary.seasonlate.and.fall,3.594623639,5.258730819,8.866813499,0.002904016,0.036893465,Q9HZA3,3-isopropylmalate dehydratase large subunit {ECO:0000255|HAMAP-Rule:MF_01026},Alpha-IPM isomerase {ECO:0000255|HAMAP-Rule:MF_01026};Isopropylmalate isomerase {ECO:0000255|HAMAP-Rule:MF_01026};, PF00330;, GO:0003861;GO:0051539;GO:0046872;GO:0009098;, ,"  F:3-isopropylmalate dehydratase activity; F:4 iron, 4 sulfur cluster binding; F:metal ion binding;",  P:leucine biosynthetic process;
contig-60_3371,binary.seasonlate.and.fall,3.595220052,4.237066775,10.0777485,0.001500706,0.020983108,,,, , , , , 
contig-60_1428,binary.seasonlate.and.fall,3.598463764,4.437109012,9.989833779,0.001574068,0.021764124,Q8KEQ0,Protein TolB homolog {ECO:0000305},, PF07676;, GO:0042597;GO:0017038;,  C:periplasmic space;, ,  P:protein import;
contig-60_5694,binary.seasonlate.and.fall,3.61138066,3.544893761,9.45899806,0.002101158,0.027958163,,,, , , , , 
contig-60_598965,binary.seasonlate.and.fall,3.616339049,4.64784086,9.492128191,0.002063553,0.027502328,,,, , , , , 
contig-60_180987,binary.seasonlate.and.fall,3.618636127,4.486996518,8.510095737,0.003531815,0.04349068,,,, , , , , 
contig-60_123520,binary.seasonlate.and.fall,3.618757682,4.077488852,11.61303289,0.000654913,0.010124346,,,, , , , , 
contig-60_97116,binary.seasonlate.and.fall,3.62321913,4.19347638,9.115207556,0.002534932,0.032956121,,,, , , , , 
contig-60_2029,binary.seasonlate.and.fall,3.629051024,6.197181287,12.88041374,0.000332039,0.005514294,P21524 D3DLX5,Ribonucleoside-diphosphate reductase large chain 1,Ribonucleotide reductase R1 subunit 1;Ribonucleotide reductase large subunit 1;, PF03477;PF02867;PF00317;, GO:0005737;GO:0005971;GO:0005524;GO:0042802;GO:0000166;GO:0004748;GO:0009263;GO:0006260;,  C:cytoplasm; C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:identical protein binding; F:nucleotide binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_2740797,binary.seasonlate.and.fall,3.631597558,5.738142005,9.708579838,0.001834097,0.024765583,,,, , , , , 
contig-60_1699,binary.seasonlate.and.fall,3.638695455,6.353473014,13.69465241,0.000215066,0.003689123,P73090,PhoH-like protein,, PF02562;, GO:0005737;GO:0005524;,  C:cytoplasm;,  F:ATP binding;, 
contig-60_12485,binary.seasonlate.and.fall,3.638940925,4.151206213,10.84966681,0.000988135,0.014530674,,,, , , , , 
contig-60_6935,binary.seasonlate.and.fall,3.640333468,4.949858953,9.896101678,0.001656293,0.022709935,P46329,Putative aldehyde dehydrogenase AldX {ECO:0000255|PROSITE-ProRule:PRU10007},, PF00171;, GO:0004028;GO:0004029;GO:0043878;GO:0006081;, ,  F:3-chloroallyl aldehyde dehydrogenase activity; F:aldehyde dehydrogenase (NAD) activity; F:glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity;,  P:cellular aldehyde metabolic process;
contig-60_141561,binary.seasonlate.and.fall,3.642017664,5.386290539,9.971110168,0.001590156,0.021951921,P43754,Ribonucleoside-diphosphate reductase subunit alpha,Ribonucleotide reductase;, PF03477;PF02867;PF00317;, GO:0005971;GO:0005524;GO:0004748;GO:0009263;GO:0006260;,  C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_1084,binary.seasonlate.and.fall,3.648409805,6.268285279,12.88200689,0.000331756,0.005512387,P03013,DNA-invertase hin,, PF02796;PF00239;, GO:0003677;GO:0000150;GO:0015074;GO:0006310;, ,  F:DNA binding; F:recombinase activity;,  P:DNA integration; P:DNA recombination;
contig-60_12300,binary.seasonlate.and.fall,3.658140748,3.927327274,14.79254413,0.000120009,0.002164774,,,, , , , , 
contig-60_33333,binary.seasonlate.and.fall,3.660308913,5.003262329,10.40294858,0.001258143,0.01798613,O67125,DNA polymerase III subunit alpha,, PF07733;PF14579;PF02811;, GO:0005737;GO:0008408;GO:0003887;GO:0006260;,  C:cytoplasm;,  F:3'-5' exonuclease activity; F:DNA-directed DNA polymerase activity;,  P:DNA replication;
contig-60_5690,binary.seasonlate.and.fall,3.660583458,4.666535512,15.30671364,9.14E-05,0.00168745,P04522,Exonuclease subunit 2,Gene product 46;, PF13476;, GO:0005524;GO:0003677;GO:0004527;GO:0099015;GO:0006281;GO:0039657;, ,  F:ATP binding; F:DNA binding; F:exonuclease activity;,  P:degradation of host chromosome by virus; P:DNA repair; P:suppression by virus of host gene expression;
contig-60_131590,binary.seasonlate.and.fall,3.68870162,5.655116596,11.63981507,0.00064555,0.009989008,,,, , , , , 
contig-60_244993,binary.seasonlate.and.fall,3.690958106,4.279678328,10.07740919,0.001500982,0.020983108,,,, , , , , 
contig-60_5616,binary.seasonlate.and.fall,3.691097991,4.140506911,10.70383113,0.001069139,0.01558932,P0AFT0 O07981 P24204 P76283,Murein DD-endopeptidase MepM,Murein hydrolase MepM;, PF01476;PF08525;PF01551;, GO:0016021;GO:0005886;GO:0046872;GO:0008237;GO:0045227;GO:0071555;,  C:integral component of membrane; C:plasma membrane;,  F:metal ion binding; F:metallopeptidase activity;,  P:capsule polysaccharide biosynthetic process; P:cell wall organization;
contig-60_1904538,binary.seasonlate.and.fall,3.704088676,4.336515073,8.445714693,0.003659046,0.044705654,Q6NKI3,CRISPR-associated endonuclease Cas9 {ECO:0000303|PubMed:25830891},SaCas9 {ECO:0000303|PubMed:25830891};, PF01844;, GO:0003677;GO:0004519;GO:0046872;GO:0003723;GO:0051607;, ,  F:DNA binding; F:endonuclease activity; F:metal ion binding; F:RNA binding;,  P:defense response to virus;
contig-60_13260,binary.seasonlate.and.fall,3.709022462,4.478848637,10.79470208,0.00101791,0.014875335,C1A8L7,10 kDa chaperonin {ECO:0000255|HAMAP-Rule:MF_00580},GroES protein {ECO:0000255|HAMAP-Rule:MF_00580};Protein Cpn10 {ECO:0000255|HAMAP-Rule:MF_00580};, PF00166;, GO:0005737;GO:0005524;GO:0006457;,  C:cytoplasm;,  F:ATP binding;,  P:protein folding;
contig-60_5200,binary.seasonlate.and.fall,3.709335555,4.681244754,10.05479804,0.001519517,0.021179151,,,, , , , , 
contig-60_18439,binary.seasonlate.and.fall,3.709635766,3.833930464,9.474230531,0.002083783,0.027760663,Q02PG5,Glyceraldehyde-3-phosphate dehydrogenase-like protein {ECO:0000255|RuleBase:RU361160},, PF02800;PF00044;, GO:0051287;GO:0050661;GO:0016620;GO:0006006;, ,"  F:NAD binding; F:NADP binding; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;",  P:glucose metabolic process;
contig-60_7795,binary.seasonlate.and.fall,3.715746353,4.030073136,14.18270654,0.000165888,0.002918672,G5EBD7,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating {ECO:0000305}",, PF00393;PF03446;, GO:0050661;GO:0004616;GO:0019521;GO:0006098;, ,  F:NADP binding; F:phosphogluconate dehydrogenase (decarboxylating) activity;,  P:D-gluconate metabolic process; P:pentose-phosphate shunt;
contig-60_5981,binary.seasonlate.and.fall,3.720737438,4.461962325,11.65447221,0.000640484,0.009919952,P15650,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",, PF00441;PF02770;PF02771;, GO:0005759;GO:0031966;GO:0005739;GO:0000062;GO:0050660;GO:0004466;GO:0016401;GO:0019254;GO:0033539;GO:0042758;GO:0120162;GO:0051289;,  C:mitochondrial matrix; C:mitochondrial membrane; C:mitochondrion;,  F:fatty-acyl-CoA binding; F:flavin adenine dinucleotide binding; F:long-chain-acyl-CoA dehydrogenase activity; F:palmitoyl-CoA oxidase activity;,"  P:carnitine metabolic process, CoA-linked; P:fatty acid beta-oxidation using acyl-CoA dehydrogenase; P:long-chain fatty acid catabolic process; P:positive regulation of cold-induced thermogenesis; P:protein homotetramerization;"
contig-60_122270,binary.seasonlate.and.fall,3.721977749,3.955347401,10.32874869,0.00130974,0.018633193,,,, , , , , 
contig-60_7399,binary.seasonlate.and.fall,3.724538857,3.961114512,12.9448254,0.000320807,0.005349388,,,, , , , , 
contig-60_151574,binary.seasonlate.and.fall,3.72669544,4.711661085,10.50406627,0.001191121,0.01716991,Q196Z5,Ribonucleoside-diphosphate reductase large subunit,Ribonucleotide reductase large subunit;, PF02867;PF00317;, GO:0005524;GO:0004748;GO:0006260;, ,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:DNA replication;
contig-60_116040,binary.seasonlate.and.fall,3.732004118,3.969553279,11.39124145,0.000737912,0.011227878,,,, , , , , 
contig-60_5170,binary.seasonlate.and.fall,3.732476945,4.464341818,11.4328216,0.00072158,0.010994648,O69192,Aminopeptidase C,Bleomycin hydrolase;, PF03051;, GO:0005737;GO:0004177;GO:0004197;GO:0008234;GO:0043418;GO:0009636;,  C:cytoplasm;,  F:aminopeptidase activity; F:cysteine-type endopeptidase activity; F:cysteine-type peptidase activity;,  P:homocysteine catabolic process; P:response to toxic substance;
contig-60_20193,binary.seasonlate.and.fall,3.732749445,3.864968274,11.79862222,0.000592746,0.009283215,A5IDM2,Enolase {ECO:0000255|HAMAP-Rule:MF_00318},2-phospho-D-glycerate hydro-lyase {ECO:0000255|HAMAP-Rule:MF_00318};2-phosphoglycerate dehydratase {ECO:0000255|HAMAP-Rule:MF_00318};, PF00113;PF03952;, GO:0009986;GO:0005576;GO:0000015;GO:0000287;GO:0004634;GO:0006096;,  C:cell surface; C:extracellular region; C:phosphopyruvate hydratase complex;,  F:magnesium ion binding; F:phosphopyruvate hydratase activity;,  P:glycolytic process;
contig-60_14154,binary.seasonlate.and.fall,3.733459466,4.740108677,8.218443869,0.004146674,0.04941969,,,, , , , , 
contig-60_12977,binary.seasonlate.and.fall,3.736564475,5.152913202,8.385613155,0.003782026,0.045884115,A8AI45,Curli production assembly/transport component CsgG,, PF03783;, GO:0030288;GO:0005886;,  C:outer membrane-bounded periplasmic space; C:plasma membrane;, , 
contig-60_5506,binary.seasonlate.and.fall,3.742344928,4.80056796,8.718218198,0.003150458,0.0395353,,,, , , , , 
contig-60_11951,binary.seasonlate.and.fall,3.748141927,4.52663046,12.54750048,0.000396737,0.00646142,Q98514,Putative protein A464R,, PF00035;PF14622;, GO:0004525;GO:0003723;GO:0006396;GO:0016075;, ,  F:ribonuclease III activity; F:RNA binding;,  P:RNA processing; P:rRNA catabolic process;
contig-60_14290,binary.seasonlate.and.fall,3.748581132,4.029898715,9.205159286,0.00241334,0.031684269,Q1IPZ8,Lon protease {ECO:0000255|HAMAP-Rule:MF_01973},ATP-dependent protease La {ECO:0000255|HAMAP-Rule:MF_01973};, PF00004;PF05362;PF02190;, GO:0005737;GO:0005524;GO:0004176;GO:0043565;GO:0004252;GO:0034605;GO:0006515;,  C:cytoplasm;,  F:ATP binding; F:ATP-dependent peptidase activity; F:sequence-specific DNA binding; F:serine-type endopeptidase activity;,  P:cellular response to heat; P:protein quality control for misfolded or incompletely synthesized proteins;
contig-60_3537,binary.seasonlate.and.fall,3.749363828,4.925583164,9.142023148,0.002498047,0.032579691,B0C4F3,PKHD-type hydroxylase AM1_3707 {ECO:0000255|HAMAP-Rule:MF_00657},, PF13640;, GO:0005506;GO:0031418;GO:0016706;, ,"  F:iron ion binding; F:L-ascorbic acid binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors;", 
contig-60_3624176,binary.seasonlate.and.fall,3.755352223,3.829041208,9.451441912,0.002109832,0.028005545,,,, , , , , 
contig-60_2495,binary.seasonlate.and.fall,3.762465849,5.136599122,10.59581099,0.001133442,0.016453929,P04522,Exonuclease subunit 2,Gene product 46;, PF13476;, GO:0005524;GO:0003677;GO:0004527;GO:0099015;GO:0006281;GO:0039657;, ,  F:ATP binding; F:DNA binding; F:exonuclease activity;,  P:degradation of host chromosome by virus; P:DNA repair; P:suppression by virus of host gene expression;
contig-60_942572,binary.seasonlate.and.fall,3.765788358,6.121711883,9.202288412,0.002417128,0.031713101,,,, , , , , 
contig-60_747649,binary.seasonlate.and.fall,3.766376573,4.095598435,9.008930901,0.002686635,0.034545757,,,, , , , , 
contig-60_321626,binary.seasonlate.and.fall,3.772151453,3.875278103,9.646215004,0.001897422,0.025484534,P04530,ATP-dependent helicase 41,Primase-helicase;Protein Gp41;, PF03796;, GO:0005524;GO:0003677;GO:0003678;GO:0039686;GO:0006260;, ,  F:ATP binding; F:DNA binding; F:DNA helicase activity;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
